,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a1_TN_g0,a1_FP_g0,a1_FN_g0,a1_TP_g0,a1_TN_g1,a1_FP_g1,a1_FN_g1,a1_TP_g1,a2_dp,a2_deqodds,a2_deqopp,a2_TN_g0,a2_FP_g0,a2_FN_g0,a2_TP_g0,a2_TN_g1,a2_FP_g1,a2_FN_g1,a2_TP_g1,wc_spd,wc_aod,wc_eod
0,SkVanillaLR,13,0.8416746,0.8416746517284588,0.7685171999317513,0.81827885,0.88402414,0.8453998,5711.0,611.0,1172.0,1674.0,3812.0,75.0,290.0,222.0,0.90905386,0.9512793,0.93626916,7964.0,623.0,1313.0,1743.0,1559.0,63.0,149.0,153.0,0.78143454,0.837626,0.76204854
1,SkVanillaLR,29,0.84049535,0.8404953195253188,0.7679704835636512,0.81505877,0.88098246,0.84104353,5682.0,627.0,1170.0,1690.0,3812.0,79.0,288.0,219.0,0.89919245,0.92376405,0.8856557,7938.0,646.0,1290.0,1764.0,1556.0,60.0,168.0,145.0,0.7764051,0.8501081,0.7927147
2,SkVanillaLR,42,0.84425443,0.8442544409228274,0.7775307705720726,0.80226,0.880576,0.84820056,5580.0,671.0,1095.0,1778.0,3862.0,80.0,267.0,234.0,0.9014528,0.9319173,0.896064,7924.0,677.0,1212.0,1861.0,1518.0,74.0,150.0,151.0,0.76677346,0.8560246,0.80754155
3,SkVanillaLR,55,0.83806294,0.8380629468563426,0.76286278324955,0.82751477,0.89559853,0.8586923,5722.0,564.0,1260.0,1652.0,3783.0,86.0,287.0,213.0,0.91110647,0.9358802,0.9016782,7991.0,589.0,1375.0,1720.0,1514.0,61.0,172.0,145.0,0.78783417,0.8466904,0.777469
4,SkVanillaLR,73,0.8368836,0.8368836146532026,0.7668407817997558,0.80934715,0.89147025,0.8656974,5599.0,658.0,1208.0,1741.0,3796.0,87.0,260.0,218.0,0.8815296,0.9130251,0.87302333,7809.0,689.0,1309.0,1826.0,1586.0,56.0,159.0,133.0,0.7573573,0.838718,0.77896565
