,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a1_TN_g0,a1_FP_g0,a1_FN_g0,a1_TP_g0,a1_TN_g1,a1_FP_g1,a1_FN_g1,a1_TP_g1,a2_dp,a2_deqodds,a2_deqopp,a2_TN_g0,a2_FP_g0,a2_FN_g0,a2_TP_g0,a2_TN_g1,a2_FP_g1,a2_FN_g1,a2_TP_g1,wc_spd,wc_aod,wc_eod
0,SkVanillaLR,13,0.7852194,0.7852193995381063,0.6783339473390759,0.893707,0.8882065,0.82698977,1121.0,95.0,293.0,205.0,353.0,10.0,67.0,21.0,0.8179678,0.79817975,0.67981035,614.0,10.0,97.0,14.0,860.0,95.0,263.0,212.0,0.7858074,0.7778186,0.6506024
1,SkVanillaLR,29,0.7769053,0.776905311778291,0.6695511948450119,0.888936,0.8567706,0.7550237,1152.0,95.0,305.0,210.0,306.0,11.0,72.0,14.0,0.81023467,0.7982532,0.6923785,611.0,6.0,95.0,13.0,847.0,100.0,282.0,211.0,0.76745385,0.73580456,0.5862998
2,SkVanillaLR,42,0.77228636,0.7722863741339492,0.6589648086842246,0.8885077,0.8697514,0.78607213,1145.0,104.0,319.0,200.0,315.0,12.0,58.0,12.0,0.81293976,0.7788075,0.64941907,607.0,11.0,112.0,10.0,853.0,105.0,265.0,202.0,0.77845,0.7522837,0.6196639
3,SkVanillaLR,55,0.7819861,0.7819861431870669,0.6793196510387246,0.8763023,0.84006137,0.72272724,1131.0,88.0,299.0,221.0,328.0,10.0,75.0,13.0,0.8300321,0.82420236,0.719991,621.0,13.0,100.0,19.0,838.0,85.0,274.0,215.0,0.7757535,0.74688864,0.5913684
4,SkVanillaLR,73,0.77090067,0.7709006928406467,0.6619726112949449,0.8846536,0.8831972,0.837269,1131.0,140.0,286.0,201.0,318.0,13.0,57.0,19.0,0.79118943,0.77859485,0.6882596,619.0,10.0,97.0,16.0,830.0,143.0,246.0,204.0,0.7628585,0.75763786,0.6682132
