,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a2_dp,a2_deqodds,a2_deqopp,wc_spd,wc_aod,wc_eod
0,SkVanillaLR,13,0.79168594,0.7916859122401848,0.6988623624137642,0.91168076,0.91930246,0.87372214,0.3069048,0.6534524,0.3069048,0.6607735,0.5,0.0
1,SkVanillaLR,29,0.78383374,0.7838337182448037,0.689120029455081,0.88814455,0.86843264,0.78401446,0.37413794,0.6129949,0.37413794,0.6,0.4375,0.0
2,SkVanillaLR,42,0.7833718,0.7833718244803695,0.6868435653482383,0.89025015,0.88605475,0.8159097,0.31294966,0.42888045,0.31294966,0.6620469,0.5,0.0
3,SkVanillaLR,55,0.78799075,0.7879907621247113,0.6992554132572939,0.87150484,0.8512635,0.7561189,0.48941803,0.5911376,0.48941803,0.25,0.5,0.0
4,SkVanillaLR,73,0.78799075,0.7879907621247113,0.6902871653999025,0.90449136,0.9135963,0.877202,0.31586796,0.6162673,0.31586796,0.6478261,0.5,0.0
